country,scenario,renewable_increase_pp,current_renewable_percent,new_renewable_percent,current_emissions_per_capita,baseline_prediction,scenario_prediction,emission_change,emission_change_percent,reduction_probability,success_score,expected_reduction,expected_reduction_percent,investment_efficiency
Cabo Verde,Moderate,15,21.8,36.8,1.19290184919027,1.359694638478191,1.3935843920126771,0.0338897535344862,2.492453274098115,0.29000000000000004,0.7000000000000001,0.009828028525000998,0.7228114494884534,0.0006552019016667333
Cabo Verde,Aggressive,30,21.8,51.8,1.19290184919027,1.359694638478191,1.3901108813171426,0.030416242838951613,2.236990716753457,0.29000000000000004,0.7000000000000001,0.008820710423295968,0.6487273078585026,0.0002940236807765323
Cambodia,Conservative,5,52.4,57.4,0.6487721812069535,0.6960588120066659,0.8882507210557951,0.1921919090491292,27.611446868269613,0.30250000000000005,0.7500000000000001,0.05813805248736159,8.352462677651557,0.011627610497472319
Cambodia,Moderate,15,52.4,67.4,0.6487721812069535,0.6960588120066659,0.7676373166411274,0.07157850463446158,10.283398959939625,0.30250000000000005,0.7500000000000001,0.021652497651924632,3.110728185381737,0.001443499843461642
Cambodia,Aggressive,30,52.4,82.4,0.6487721812069535,0.6960588120066659,0.7346890484837959,0.03863023647713004,5.549852370342536,0.30250000000000005,0.7500000000000001,0.01168564653433184,1.6788303420286175,0.00038952155114439465
Cameroon,Conservative,5,79.2,84.2,0.311948447008807,0.3543493588588358,0.35437016710862096,2.0808249785175814e-05,0.005872241409491393,0.30250000000000005,0.7500000000000001,6.294495560015685e-06,0.0017763530263711468,1.258899112003137e-06
Cameroon,Moderate,15,79.2,94.2,0.311948447008807,0.3543493588588358,0.3512872004182466,-0.0030621584405891578,-0.8641636746432065,0.30250000000000005,0.7500000000000001,-0.0009263029282782204,-0.26140951157957004,6.175352855188136e-05
Cameroon,Aggressive,30,79.2,95.0,0.311948447008807,0.3543493588588358,0.3594095197108822,0.005060160852046414,1.4280146769116238,0.30250000000000005,0.7500000000000001,0.0015306986577440403,0.43197443976576616,5.1023288591468007e-05
Canada,Conservative,5,23.8,28.8,14.752439224907254,12.784619489609325,12.475217302567499,-0.309402187041826,-2.4201125993096,0.2775,0.65,-0.08585910690410672,-0.6715812463084142,0.017171821380821344
Canada,Moderate,15,23.8,38.8,14.752439224907254,12.784619489609325,11.858524990163119,-0.9260944994462061,-7.243817465188446,0.2775,0.65,-0.2569912235963222,-2.0101593465897936,0.017132748239754813
Canada,Aggressive,30,23.8,53.8,14.752439224907254,12.784619489609325,11.733013856715308,-1.0516056328940167,-8.225552850819746,0.2775,0.65,-0.2918205631280896,-2.2825909161024796,0.009727352104269654
Cayman Islands,Conservative,5,0.0,5.0,161.75217555279295,143.5691139658614,136.76800744269548,-6.801106523165913,-4.737165491446242,0.24,0.5,-1.632265565559819,-1.136919717947098,0.3264531131119638
Cayman Islands,Moderate,15,0.0,15.0,161.75217555279295,143.5691139658614,133.24651260550516,-10.32260136035623,-7.189987508602158,0.24,0.5,-2.477424326485495,-1.725597002064518,0.16516162176569968
Cayman Islands,Aggressive,30,0.0,30.0,161.75217555279295,143.5691139658614,131.63987470655505,-11.929239259306343,-8.309056822725074,0.24,0.5,-2.863017422233522,-1.9941736374540175,0.09543391407445073
Chad,Conservative,5,70.0,75.0,0.0579778747760265,5.89174864777453,5.891799182647203,5.0534872673146936e-05,0.0008577228204097829,0.2525,0.55,1.2760055349969601e-05,0.00021657501215347012,2.55201106999392e-06
Chad,Moderate,15,70.0,85.0,0.0579778747760265,5.89174864777453,5.9038670519521155,0.012118404177585695,0.20568433757205748,0.2525,0.55,0.003059897054840388,0.051935295236944505,0.0002039931369893592
Chad,Aggressive,30,70.0,95.0,0.0579778747760265,5.89174864777453,5.998434574667474,0.10668592689294432,1.8107684708043754,0.2525,0.55,0.02693819654046844,0.4572190388781048,0.0008979398846822813
Channel Islands,Conservative,5,20.9,25.9,69.2521603923093,58.35870146508485,58.36774700472781,0.009045539642961842,0.01549989875695513,0.2525,0.5499999999999999,0.002283998759847865,0.003913724436131171,0.000456799751969573
Channel Islands,Moderate,15,20.9,35.9,69.2521603923093,58.35870146508485,57.67647753567198,-0.6822239294128707,-1.1690183507956138,0.2525,0.5499999999999999,-0.17226154217674985,-0.29517713357589254,0.011484102811783324
Channel Islands,Aggressive,30,20.9,50.9,69.2521603923093,58.35870146508485,57.67647753567198,-0.6822239294128707,-1.1690183507956138,0.2525,0.5499999999999999,-0.17226154217674985,-0.29517713357589254,0.005742051405891662
Chile,Conservative,5,24.2,29.2,4.430002583741983,4.944191685923387,4.928142022998588,-0.016049662924799257,-0.32461651862111796,0.19,0.3,-0.003049435955711859,-0.06167713853801241,0.0006098871911423718
Chile,Moderate,15,24.2,39.2,4.430002583741983,4.944191685923387,4.8701610547004295,-0.07403063122295794,-1.4973252641828314,0.19,0.3,-0.014065819932362009,-0.28449180019473796,0.0009377213288241339
Chile,Aggressive,30,24.2,54.2,4.430002583741983,4.944191685923387,4.821126330967059,-0.12306535495632875,-2.4890894765813436,0.19,0.3,-0.023382417441702462,-0.4729270005504552,0.0007794139147234154
China,Conservative,5,15.2,20.2,44.88119055614668,30.729800572174565,30.543572157668546,-0.18622841450601868,-0.606018949158577,0.21500000000000002,0.4,-0.04003910911879402,-0.13029407406909407,0.008007821823758804
China,Moderate,15,15.2,30.2,44.88119055614668,30.729800572174565,30.33878365468296,-0.39101691749160494,-1.2724355843873119,0.21500000000000002,0.4,-0.08406863726069508,-0.2735736506432721,0.005604575817379672
China,Aggressive,30,15.2,45.2,44.88119055614668,30.729800572174565,30.33878365468296,-0.39101691749160494,-1.2724355843873119,0.21500000000000002,0.4,-0.08406863726069508,-0.2735736506432721,0.002802287908689836
Colombia,Conservative,5,29.7,34.7,1.5363965757897144,1.6076013848822097,1.5930035134589087,-0.014597871423301045,-0.908052926588555,0.29,0.7,-0.004233382712757303,-0.2633353487106809,0.0008466765425514606
Colombia,Moderate,15,29.7,44.7,1.5363965757897144,1.6076013848822097,1.579132010630538,-0.02846937425167173,-1.770922476143407,0.29,0.7,-0.008256118532984802,-0.5135675180815881,0.0005504079021989868
Colombia,Aggressive,30,29.7,59.7,1.5363965757897144,1.6076013848822097,1.5592277724650687,-0.048373612417141,-3.0090551595714987,0.29,0.7,-0.01402834760097089,-0.8726259962757346,0.00046761158669902963
Comoros,Conservative,5,39.3,44.3,0.3116803406426369,0.4048990075290851,0.40925908782461756,0.004360080295532476,1.0768315590942215,0.29000000000000004,0.7000000000000001,0.0012644232857044182,0.31228115213732427,0.00025288465714088363
Comoros,Moderate,15,39.3,54.3,0.3116803406426369,0.4048990075290851,0.41487026132877225,0.009971253799687163,2.462652072312353,0.29000000000000004,0.7000000000000001,0.0028916636019092777,0.7141691009705824,0.00019277757346061852
Comoros,Aggressive,30,39.3,69.3,0.3116803406426369,0.4048990075290851,0.38960834272728007,-0.01529066480180502,-3.7764144928674956,0.29000000000000004,0.7000000000000001,-0.004434292792523457,-1.095160202931574,0.0001478097597507819
"Congo, Dem. Rep.",Conservative,5,96.3,95.0,0.0214850111577522,0.104433761898225,0.11597896264010388,0.011545200741878883,11.055046310722922,0.29000000000000004,0.7000000000000001,0.0033481082151448766,3.2059634301096476,0.0006696216430289754
"Congo, Dem. Rep.",Moderate,15,96.3,95.0,0.0214850111577522,0.104433761898225,0.11597896264010388,0.011545200741878883,11.055046310722922,0.29000000000000004,0.7000000000000001,0.0033481082151448766,3.2059634301096476,0.00022320721434299177
"Congo, Dem. Rep.",Aggressive,30,96.3,95.0,0.0214850111577522,0.104433761898225,0.11822070619341794,0.013786944295192949,13.201616071849346,0.29000000000000004,0.7000000000000001,0.0039982138456059555,3.828468660836311,0.00013327379485353184
"Congo, Rep.",Conservative,5,71.4,76.4,0.5335450722970143,0.6609551719609916,0.5548714590501677,-0.10608371291082397,-16.050061700263818,0.30250000000000005,0.7500000000000001,-0.03209032315552426,-4.855143664329805,0.006418064631104852
"Congo, Rep.",Moderate,15,71.4,86.4,0.5335450722970143,0.6609551719609916,0.5380209335619274,-0.12293423839906426,-18.59948202452671,0.30250000000000005,0.7500000000000001,-0.03718760711571694,-5.626343312419331,0.002479173807714463
"Congo, Rep.",Aggressive,30,71.4,95.0,0.5335450722970143,0.6609551719609916,0.5187581610662059,-0.14219701089478576,-21.513866132993655,0.30250000000000005,0.7500000000000001,-0.0430145957956727,-6.507944505230581,0.0014338198598557565
Costa Rica,Conservative,5,34.2,39.2,1.6254195146764954,2.571156888396647,2.582139525527648,0.010982637131000672,0.42714768517487695,0.22749999999999998,0.44999999999999996,0.0024985499473026526,0.09717609837728448,0.0004997099894605305
Costa Rica,Moderate,15,34.2,49.2,1.6254195146764954,2.571156888396647,2.6555843412758087,0.08442745287916154,3.283636765230994,0.22749999999999998,0.44999999999999996,0.019207245530009246,0.7470273640900509,0.0012804830353339498
Costa Rica,Aggressive,30,34.2,64.2,1.6254195146764954,2.571156888396647,2.6570017463308586,0.08584485793421148,3.338763897357646,0.22749999999999998,0.44999999999999996,0.01952970518003311,0.7595687866488645,0.0006509901726677703
Cote d'Ivoire,Conservative,5,58.2,63.2,0.3260404457285444,0.3885343618601478,0.6943627514969338,0.30582838963678605,78.71334421300642,0.29000000000000004,0.7000000000000001,0.08869023299466797,22.826869821771865,0.017738046598933594
Cote d'Ivoire,Moderate,15,58.2,73.2,0.3260404457285444,0.3885343618601478,0.5728984223677515,0.18436406050760368,47.45115969278547,0.29000000000000004,0.7000000000000001,0.05346557754720507,13.760836310907788,0.0035643718364803383
Cote d'Ivoire,Aggressive,30,58.2,88.2,0.3260404457285444,0.3885343618601478,0.5776167533947543,0.1890823915346065,48.66555190366054,0.29000000000000004,0.7000000000000001,0.054833893545035886,14.113010052061558,0.0018277964515011963
Croatia,Conservative,5,34.1,39.1,4.300192886215288,4.711722392249305,4.702942983893332,-0.008779408355972684,-0.1863311890024473,0.265,0.6,-0.0023265432143327615,-0.04937776508564854,0.0004653086428665523
Croatia,Moderate,15,34.1,49.1,4.300192886215288,4.711722392249305,4.624847683468008,-0.08687470878129666,-1.843799391156914,0.265,0.6,-0.023021797827043618,-0.4886068386565822,0.0015347865218029077
Croatia,Aggressive,30,34.1,64.1,4.300192886215288,4.711722392249305,4.624847683468008,-0.08687470878129666,-1.843799391156914,0.265,0.6,-0.023021797827043618,-0.4886068386565822,0.0007673932609014539
Cuba,Conservative,5,20.9,25.9,2.257722096742985,2.9082594425820854,2.8562599261713943,-0.051999516410691005,-1.7879944151242388,0.2525,0.55,-0.013129877893699479,-0.45146858981887034,0.002625975578739896
Cuba,Moderate,15,20.9,35.9,2.257722096742985,2.9082594425820854,2.847837752416071,-0.0604216901660144,-2.077589409023607,0.2525,0.55,-0.015256476766918636,-0.5245913257784608,0.001017098451127909
Cuba,Aggressive,30,20.9,50.9,2.257722096742985,2.9082594425820854,2.765497956499763,-0.14276148608232253,-4.908829108986658,0.2525,0.55,-0.03604727523578644,-1.2394793500191312,0.0012015758411928815
Curacao,Conservative,5,2.8,7.8,77.2020587215659,52.27334238790776,50.80917292242349,-1.464169465484268,-2.8009868866219088,0.265,0.6,-0.38800490835333107,-0.7422615249548059,0.07760098167066622
Curacao,Moderate,15,2.8,17.8,77.2020587215659,52.27334238790776,50.847565549661205,-1.4257768382465557,-2.7275409857403274,0.265,0.6,-0.3778308621353373,-0.7227983612211868,0.02518872414235582
Curacao,Aggressive,30,2.8,32.8,77.2020587215659,52.27334238790776,50.77408821424041,-1.499254173667353,-2.868104668995054,0.265,0.6,-0.39730235602184855,-0.7600477372836892,0.013243411867394951
Cyprus,Conservative,5,15.6,20.6,5.430496405957773,5.196485401827722,5.176262855603056,-0.020222546224665905,-0.3891581455718739,0.2775,0.65,-0.005611756577344789,-0.10799138539619503,0.0011223513154689578
Cyprus,Moderate,15,15.6,30.6,5.430496405957773,5.196485401827722,5.049697643912245,-0.14678775791547682,-2.8247507029241,0.2775,0.65,-0.04073360282154482,-0.7838683200614377,0.0027155735214363214
Cyprus,Aggressive,30,15.6,45.6,5.430496405957773,5.196485401827722,4.964115957414785,-0.23236944441293694,-4.471665490125448,0.2775,0.65,-0.06448252082459001,-1.2408871735098117,0.002149417360819667
Czechia,Conservative,5,17.2,22.2,1.0850704611774344,3.413145017203924,3.6167639420326965,0.2036189248287723,5.965727321940119,0.2775,0.65,0.05650425163998432,1.6554893318383834,0.011300850327996863
Czechia,Moderate,15,17.2,32.2,1.0850704611774344,3.413145017203924,3.7145889232029883,0.3014439059990641,8.831851693368991,0.2775,0.65,0.0836506839147403,2.450838844909895,0.005576712260982687
Czechia,Aggressive,30,17.2,47.2,1.0850704611774344,3.413145017203924,3.7145889232029883,0.3014439059990641,8.831851693368991,0.2775,0.65,0.0836506839147403,2.450838844909895,0.0027883561304913435
Denmark,Conservative,5,39.5,44.5,5.65471637734949,5.9162764394449505,5.842630810270078,-0.07364562917487216,-1.244796958503538,0.2525,0.55,-0.01859552136665522,-0.31431123202214334,0.003719104273331044
Denmark,Moderate,15,39.5,54.5,5.65471637734949,5.9162764394449505,5.73529985482126,-0.18097658462369015,-3.0589609271312024,0.2525,0.55,-0.045696587617481764,-0.7723876341006286,0.003046439174498784
Denmark,Aggressive,30,39.5,69.5,5.65471637734949,5.9162764394449505,5.73671725987631,-0.1795591795686402,-3.035003205250598,0.2525,0.55,-0.04533869284108165,-0.766338309325776,0.0015112897613693882
Djibouti,Conservative,5,26.9,31.9,0.430922279209495,7.443748923444282,7.425173611299233,-0.018575312145049594,-0.249542432665161,0.29,0.7,-0.005386840522064382,-0.07236730547289667,0.0010773681044128763
Djibouti,Moderate,15,26.9,41.9,0.430922279209495,7.443748923444282,7.416701426070882,-0.027047497373399843,-0.3633585395151231,0.29,0.7,-0.007843774238285953,-0.10537397645938569,0.0005229182825523969
Djibouti,Aggressive,30,26.9,56.9,0.430922279209495,7.443748923444282,7.457678580774435,0.013929657330153056,0.1871322833885656,0.29,0.7,0.004039600625744386,0.05426836218268402,0.00013465335419147954
Dominica,Conservative,5,8.9,13.9,2.6935623858977045,49.14715009805971,49.14325176424325,-0.0038983338164584325,-0.007931963112164942,0.3025,0.75,-0.0011792459794786759,-0.0023994188414298953,0.00023584919589573518
Dominica,Moderate,15,8.9,23.9,2.6935623858977045,49.14715009805971,49.05702759082016,-0.09012250723954907,-0.18337280403794365,0.3025,0.75,-0.027262058439963592,-0.05547027322147795,0.0018174705626642395
Dominica,Aggressive,30,8.9,38.9,2.6935623858977045,49.14715009805971,49.033276342241386,-0.11387375581832515,-0.23169961145482737,0.3025,0.75,-0.03444681113504336,-0.07008913246508527,0.0011482270378347786
Dominican Republic,Conservative,5,14.8,19.8,2.2367193453250698,2.4844938351193737,2.5071526011672436,0.02265876604786987,0.9120073363668126,0.2775,0.65,0.00628780757828389,0.25308203584179056,0.001257561515656778
Dominican Republic,Moderate,15,14.8,29.8,2.2367193453250698,2.4844938351193737,2.2874266917079207,-0.19706714341145304,-7.931882970520007,0.2775,0.65,-0.05468613229667822,-2.2010975243193025,0.0036457421531118817
Dominican Republic,Aggressive,30,14.8,44.8,2.2367193453250698,2.4844938351193737,2.2370341065680126,-0.2474597285513611,-9.96016673712017,0.2775,0.65,-0.06867007467300272,-2.7639462695508477,0.0022890024891000908
Early-demographic dividend,Conservative,5,24.9895503831566,29.9895503831566,0.0503928057742191,1.192294469635766,1.1359992464843274,-0.056295223151438645,-4.721587207280788,0.3025,0.75,-0.01702930500331019,-1.4282801302024384,0.003405861000662038
Early-demographic dividend,Moderate,15,24.9895503831566,39.9895503831566,0.0503928057742191,1.192294469635766,1.2380215631027824,0.04572709346701642,3.8352181136079238,0.3025,0.75,0.013832445773772467,1.1601534793663968,0.0009221630515848311
Early-demographic dividend,Aggressive,30,24.9895503831566,54.9895503831566,0.0503928057742191,1.192294469635766,1.2993781089712289,0.10708363933546283,8.981308062946548,0.3025,0.75,0.0323928008989775,2.7168456890413304,0.0010797600299659168
