country,date,transport_emissions_Mt,total_emissions_Mt,vehicles_per_1000,ownership_fraction,ev_share_vkt,grid_ef_g_per_kwh,ev_g_per_km,reduction_factor,ev_reduction_Mt,pct_of_total_reduced,GDP_per_capita_current_USD,Urban_population_percent,Fossil_fuel_energy_consumption_percent,Renewable_energy_consumption_percent
Israel,2022,18.04,61.97,600.0,0.6,0.8333333333333334,779.75,140.355,0.22025000000000006,3.3110916666666674,5.34305577967834,54949.621556429,92.763,97.3,6.2
Bolivia,2022,10.55,22.71,150.0,0.15,1.0,686.3000000000001,123.534,0.3137,3.309535,14.57302950242184,3643.92826984604,70.83,84.84,12.8
Heavily indebted poor countries (HIPC),2022,4.04,11.58,50.0,0.05,1.0,206.22717003628725,37.1208906065317,0.7937728299637128,3.2068422330533997,27.692938109269427,1111.39185793698,38.0398695478936,23.4969560048383,76.0353291030768
Uzbekistan,2022,15.02,112.09,50.0,0.05,1.0,787.7,141.786,0.2123,3.1887459999999996,2.8448086359175657,2578.66689394219,50.466,98.36,1.0
Cambodia,2022,5.77,11.16,50.0,0.05,1.0,461.975,83.1555,0.538025,3.1044042499999995,27.817242383512543,2325.03050040841,25.114,54.93,52.4
Uganda,2022,3.42,6.13,50.0,0.05,1.0,95.47500000000001,17.1855,0.904525,3.0934755,50.46452691680261,963.067314233497,26.159,8.73,90.9
Low income,2022,4.04,11.58,50.0,0.05,1.0,247.60367925355945,44.5686622656407,0.7523963207464407,3.0396811358156204,26.249405317924186,723.504638939919,37.1420380582929,29.0138239004746,69.2018592023965
Ireland,2022,11.87,37.11,600.0,0.6,0.8333333333333334,693.8000000000001,124.88400000000001,0.3061999999999999,3.0288283333333323,8.161757837060987,55666.86673271664,64.183,85.84,12.7
Least developed countries: UN classification,2022,4.04,11.58,50.0,0.05,1.0,271.1659440213675,48.80986992384615,0.7288340559786325,2.9444895861536753,25.427371210308074,1273.78979194705,35.8497135775292,32.155459202849,70.885707743194
Lithuania,2022,6.05,11.59,400.0,0.4,1.0,514.25,92.565,0.48575,2.9387875,25.35623382226057,25085.784063499,68.465,61.9,33.2
Slovenia,2022,5.72,14.05,400.0,0.4,1.0,493.625,88.85249999999999,0.506375,2.896465,20.61540925266904,28373.8382265999,55.751,59.15,23.4
IDA only,2022,4.04,11.58,50.0,0.05,1.0,300.127434327792,54.02293817900256,0.699872565672208,2.8274851653157205,24.416970339513995,1330.40253875948,35.8907865413649,36.0169912437056,67.3560634206125
Mozambique,2022,3.56,6.64,50.0,0.05,1.0,214.575,38.6235,0.7854249999999999,2.7961129999999996,42.11013554216867,578.251663751351,38.187,24.61,76.9
Croatia,2022,6.3,16.58,400.0,0.4,1.0,559.775,100.75949999999999,0.4402250000000001,2.7734175000000003,16.72748793727383,18466.0955472648,58.219,67.97,34.1
Pre-demographic dividend,2022,4.04,11.58,50.0,0.05,1.0,339.9498356347057,61.190970414247026,0.6600501643652943,2.666602664035789,23.027656856958455,1577.71627123527,43.6418701367517,41.3266447512941,73.3285283869645
Cote d'Ivoire,2022,3.98,9.91,50.0,0.05,1.0,331.84999999999997,59.73299999999999,0.66815,2.659237,26.833874873864783,2333.37128334477,52.661,37.58,58.2
Kuwait,2022,15.87,89.46,600.0,0.6,0.8333333333333334,799.4,143.892,0.20060000000000003,2.6529350000000003,2.9654985468365753,39981.7690981957,100.0,99.92,0.1
Africa Eastern and Southern,2022,4.04,11.58,50.0,0.05,1.0,352.4483146374075,63.44069663473335,0.6475516853625926,2.616108808864874,22.59161320263276,1628.31894446307,37.9090120211832,42.993108618321,65.7823798017466
