country,date,CO2_emissions_Mt,Electric_power_consumption_per_capita,GDP_per_capita_current_USD,Population_total,Urban_population_percent,CO2_emissions_per_capita,Energy_efficiency
Belarus,2018,59.31,3725.05571426831,6360.037502312,9438785.0,78.595,6.283647736440654,1.7073670812360622
Belarus,2019,59.31,3759.65072563435,6837.77339645635,9419758.0,79.044,6.296340097059819,1.8187256996599444
Belarus,2020,59.31,3764.62480831458,6542.85579976768,9379952.0,79.483,6.3230600753607265,1.7379834997944754
Belgium,2018,93.47,7748.27877771471,47487.2100392561,11427054.0,98.001,8.179711061136143,6.128743092702978
Belgium,2019,93.47,7673.44011391786,46716.6227467964,11488980.0,98.041,8.135622135298346,6.088093743256452
Belgium,2020,93.47,7420.741711909,45906.2875805246,11538604.0,98.079,8.100633317513973,6.186212829218
Belize,2018,0.68,2271.66939388559,6031.28139580144,380226.0,45.724,1.7884100508644858,2.6549996280423533
Belize,2019,0.68,2290.2681069016,6190.04792278445,385829.0,45.866,1.7624388006085598,2.7027612636839646
Belize,2020,0.68,2214.70778976196,5227.19363786168,390812.0,46.025,1.7399670429771859,2.360218202159982
Benin,2018,7.91,96.9043345066564,1151.7409703472,12383347.0,47.312,0.6387610716230434,11.885340074938405
Benin,2019,7.91,98.6897288428983,1130.82135339795,12726755.0,47.861,0.6215252827606095,11.458348975687997
Benin,2020,7.91,98.4685048831427,1200.19426631122,13070169.0,48.415,0.6051949290020657,12.188610639874629
Bermuda,2018,11.58,2271.66939388559,73388.1983951377,63831.0,100.0,181.4165530854914,32.30584458841981
Bermuda,2019,11.58,2290.2681069016,73388.1983951377,64107.0,100.0,180.63550002339838,32.04349664302896
Bermuda,2020,11.58,2214.70778976196,73388.1983951377,64382.0,100.0,179.86393712528346,33.13674098876293
Bhutan,2018,1.38,2271.66939388559,3400.20417245342,759759.0,40.895,1.8163654527290891,1.4967865401564975
Bhutan,2019,1.38,2290.2681069016,3576.87987100503,764824.0,41.612,1.8043366839952721,1.5617734274106576
Bhutan,2020,1.38,2214.70778976196,3191.66906999331,770006.0,42.316,1.7921938270610878,1.4411242353269345
Bolivia,2018,22.71,791.163438638737,3500.72642189887,11508368.0,69.425,1.9733466986804733,4.42478285892756
Bolivia,2019,22.71,802.304027987764,3503.89601123129,11671386.0,69.773,1.945784331012615,4.367292060117549
Bolivia,2020,22.71,769.784176923756,3099.94219053514,11816299.0,70.123,1.921921576290512,4.027027683166026
Bosnia and Herzegovina,2018,22.54,3898.73043991733,6047.84584261133,3387000.0,48.245,6.654856805432536,1.5512346739056857
Bosnia and Herzegovina,2019,22.54,3735.12979845065,6122.3753450882,3345533.0,48.626,6.737342002006855,1.6391332230616968
Bosnia and Herzegovina,2020,22.54,3513.72346484109,6130.31133245161,3299349.0,49.02,6.831650728674051,1.7446766638844917
Botswana,2018,8.21,1586.24460178823,7407.95940141786,2299141.0,69.446,3.570898870491197,4.670124262718753
Botswana,2019,8.21,1550.54515641167,7172.08956480028,2332083.0,70.172,3.5204578910784914,4.625527695948049
Botswana,2020,8.21,1504.29393709101,6323.29749806946,2365894.0,70.877,3.470147014194212,4.203498626270737
Brazil,2018,427.71,2640.41643831267,9300.66164923219,206107261.0,86.569,2.0751816210880607,3.5224222642605874
Brazil,2019,427.71,2661.18328561313,9029.83326681073,207455459.0,86.824,2.0616955661793406,3.3931647307525754
Brazil,2020,427.71,2624.84323723758,7074.19378337644,208660842.0,87.073,2.049785651684469,2.695091913687545
British Virgin Islands,2018,11.58,2271.66939388559,6765.478718542665,34657.0,47.723,334.13163285916266,2.978196887607229
British Virgin Islands,2019,11.58,2290.2681069016,6683.44658120869,36395.0,48.116,318.17557356779776,2.918193970858033
British Virgin Islands,2020,11.58,2214.70778976196,6185.003364546095,37135.0,48.515,311.83519590682647,2.792694997117822
Brunei Darussalam,2018,7.14,8709.2574404422,30988.1190497851,437810.0,77.629,16.308444302322926,3.5580667194299544
Brunei Darussalam,2019,7.14,10018.5235384476,30426.5730284202,442680.0,77.942,16.129032258064516,3.0370316455966413
